"","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7","Cluster 8","Cluster 9"
"1","A Kumble","A Mishra","A Nehra","A Symonds","AB Agarkar","AB de Villiers","AC Gilchrist","AD Russell","CH Gayle"
"2","Kuldeep Yadav","AR Patel","AB Dinda","AD Mathews","B Lee","AM Rahane","BB McCullum","AJ Finch","KA Pollard"
"3","M Ashwin","B Kumar","DS Kulkarni","AM Nayar","CH Morris","AT Rayudu","CA Lynn","DR Smith","SR Watson"
"4","P Awana","DJ Bravo","DW Steyn","BA Stokes","DL Chahar","DA Warner","DA Miller","F du Plessis","YK Pathan"
"5","PJ Sangwan","Harbhajan Singh","I Sharma","BJ Hodge","DL Vettori","G Gambhir","DPMD Jayawardene","GJ Maxwell","Yuvraj Singh"
"6","PV Tambe","IK Pathan","JD Unadkat","CL White","DT Christian","KD Karthik","EJG Morgan","HH Pandya"," "
"7","R Sharma","JA Morkel","JJ Bumrah","DJ Hooda","HV Patel","MK Pandey","GJ Bailey","JP Duminy"," "
"8","S Kaul","JH Kallis","L Balaji","DJ Hussey","Imran Tahir","MS Dhoni","HH Gibbs","M Vijay"," "
"9","S Sreesanth","PP Chawla","M Muralitharan","Gurkeerat Singh","Iqbal Abdulla","PA Patel","Ishan Kishan","Mandeep Singh"," "
"10","VR Aaron","R Ashwin","MM Sharma","KP Pietersen","J Botha","RG Sharma","JC Buttler","MK Tiwary"," "
"11"," ","RA Jadeja","P Kumar","KS Williamson","JC Archer","RV Uthappa","KC Sangakkara","SA Yadav"," "
"12"," ","SL Malinga","PP Ojha","LR Shukla","JP Faulkner","S Dhawan","KK Nair","SPD Smith"," "
"13"," ","SP Narine","R Vinay Kumar","LRPL Taylor","K Rabada","SK Raina","KL Rahul","SR Tendulkar"," "
"14"," ","UT Yadav","RP Singh","M Manhas","KH Pandya","V Kohli","KM Jadhav","V Sehwag"," "
"15"," "," ","S Nadeem","MC Henriques","KV Sharma"," ","M Vohra"," "," "
"16"," "," ","Sandeep Sharma","MP Stoinis","M Kartik"," ","MA Agarwal"," "," "
"17"," "," ","SK Trivedi","N Rana","M Morkel"," ","MEK Hussey"," "," "
"18"," "," ","YS Chahal","RA Tripathi","MG Johnson"," ","ML Hayden"," "," "
"19"," "," ","Z Khan","SC Ganguly","MJ McClenaghan"," ","MS Bisla"," "," "
"20"," "," "," ","STR Binny","MM Patel"," ","NV Ojha"," "," "
"21"," "," "," ","TL Suman","Mohammed Shami"," ","PP Shaw"," "," "
"22"," "," "," ","TM Dilshan","Mohammed Siraj"," ","Q de Kock"," "," "
"23"," "," "," ","V Shankar","MS Gony"," ","R Dravid"," "," "
"24"," "," "," ","Y Venugopal Rao","NLTC Perera"," ","RR Pant"," "," "
"25"," "," "," "," ","NM Coulter-Nile"," ","S Badrinath"," "," "
"26"," "," "," "," ","P Negi"," ","SE Marsh"," "," "
"27"," "," "," "," ","R Bhatia"," ","Shubman Gill"," "," "
"28"," "," "," "," ","R Tewatia"," ","SS Iyer"," "," "
"29"," "," "," "," ","Rashid Khan"," ","SS Tiwary"," "," "
"30"," "," "," "," ","RJ Harris"," ","SV Samson"," "," "
"31"," "," "," "," ","S Aravind"," ","WP Saha"," "," "
"32"," "," "," "," ","S Gopal"," "," "," "," "
"33"," "," "," "," ","SB Jakati"," "," "," "," "
"34"," "," "," "," ","Shakib Al Hasan"," "," "," "," "
"35"," "," "," "," ","SK Warne"," "," "," "," "
"36"," "," "," "," ","SN Thakur"," "," "," "," "
"37"," "," "," "," ","TA Boult"," "," "," "," "
"38"," "," "," "," ","TG Southee"," "," "," "," "
"39"," "," "," "," ","Washington Sundar"," "," "," "," "
