"","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7","Cluster 8","Cluster 9"
"1","A Mishra","CH Gayle","A Nehra","A Symonds","A Kumble","AB de Villiers","AB Agarkar","CA Lynn","AC Gilchrist"
"2","DJ Bravo","JH Kallis","AR Patel","AD Russell","AB Dinda","AM Rahane","AD Mathews","DPMD Jayawardene","AJ Finch"
"3","Harbhajan Singh","KA Pollard","B Kumar","AM Nayar","Imran Tahir","AT Rayudu","B Lee","EJG Morgan","BB McCullum"
"4","PP Chawla","SR Watson","DS Kulkarni","BA Stokes","Kuldeep Yadav","DA Warner","CH Morris","GJ Bailey","DA Miller"
"5","R Ashwin","YK Pathan","DW Steyn","BJ Hodge","L Balaji","G Gambhir","DL Chahar","HH Gibbs","DR Smith"
"6","RA Jadeja","Yuvraj Singh","I Sharma","CL White","M Ashwin","KD Karthik","DL Vettori","Ishan Kishan","KL Rahul"
"7","SP Narine"," ","IK Pathan","DJ Hooda","M Muralitharan","MS Dhoni","DT Christian","JC Buttler","M Vijay"
"8"," "," ","JA Morkel","DJ Hussey","MM Patel","RG Sharma","HV Patel","KC Sangakkara","MA Agarwal"
"9"," "," ","JD Unadkat","F du Plessis","Mohammed Shami","RV Uthappa","Iqbal Abdulla","KK Nair","MK Pandey"
"10"," "," ","JJ Bumrah","GJ Maxwell","Mohammed Siraj","S Dhawan","J Botha","KM Jadhav","NV Ojha"
"11"," "," ","MM Sharma","Gurkeerat Singh","P Awana","SK Raina","JC Archer","M Vohra","PA Patel"
"12"," "," ","P Kumar","HH Pandya","PJ Sangwan","V Kohli","JP Faulkner","MEK Hussey","Q de Kock"
"13"," "," ","R Bhatia","JP Duminy","PP Ojha"," ","K Rabada","ML Hayden","R Dravid"
"14"," "," ","R Vinay Kumar","KP Pietersen","PV Tambe"," ","KH Pandya","MS Bisla","RR Pant"
"15"," "," ","RP Singh","KS Williamson","R Sharma"," ","KV Sharma","PP Shaw","SA Yadav"
"16"," "," ","Sandeep Sharma","LRPL Taylor","S Kaul"," ","LR Shukla","S Badrinath","SE Marsh"
"17"," "," ","SL Malinga","M Manhas","S Nadeem"," ","M Kartik","Shubman Gill","SPD Smith"
"18"," "," ","UT Yadav","Mandeep Singh","S Sreesanth"," ","M Morkel","SS Tiwary","SR Tendulkar"
"19"," "," ","YS Chahal","MC Henriques","SB Jakati"," ","MG Johnson"," ","SS Iyer"
"20"," "," ","Z Khan","MK Tiwary","SK Trivedi"," ","MJ McClenaghan"," ","SV Samson"
"21"," "," "," ","MP Stoinis","SK Warne"," ","MS Gony"," ","V Sehwag"
"22"," "," "," ","N Rana","TA Boult"," ","NLTC Perera"," ","WP Saha"
"23"," "," "," ","RA Tripathi","VR Aaron"," ","NM Coulter-Nile"," "," "
"24"," "," "," ","SC Ganguly"," "," ","P Negi"," "," "
"25"," "," "," ","STR Binny"," "," ","R Tewatia"," "," "
"26"," "," "," ","TL Suman"," "," ","Rashid Khan"," "," "
"27"," "," "," ","TM Dilshan"," "," ","RJ Harris"," "," "
"28"," "," "," ","V Shankar"," "," ","S Aravind"," "," "
"29"," "," "," ","Y Venugopal Rao"," "," ","S Gopal"," "," "
"30"," "," "," "," "," "," ","Shakib Al Hasan"," "," "
"31"," "," "," "," "," "," ","SN Thakur"," "," "
"32"," "," "," "," "," "," ","TG Southee"," "," "
"33"," "," "," "," "," "," ","Washington Sundar"," "," "
