,Player,Balls_faced,Innings_played,Runs_scored,No_4s,No_6s,Batting_avg,Strike_rate,Balls_bowled,Wickets_taken,Overs_bowled,Total_runs_conceded,Bowling_economy,No_matches,Catches
A Kumble,A Kumble,49,15,35,3,0,2.3,71.4,983,45,122,1058,8.7,42,10
A Mishra,A Mishra,410,54,362,29,5,6.7,88.3,3233,160,433,3867,8.9,150,21
A Nehra,A Nehra,63,17,41,3,1,2.4,65.1,1974,106,270,2495,9.2,88,19
A Symonds,A Symonds,781,36,974,74,41,27.1,124.7,540,20,63,674,10.7,36,21
AB Agarkar,AB Agarkar,160,18,179,13,5,9.9,111.9,820,29,112,1151,10.3,42,5
AB de Villiers,AB de Villiers,3264,156,4849,390,235,31.1,148.6,0,0,0,0,0,163,103
AB Dinda,AB Dinda,50,16,26,2,0,1.6,52,1589,69,219,2073,9.5,76,7
AC Gilchrist,AC Gilchrist,1555,80,2069,239,92,25.9,133.1,1,1,1,0,0,80,51
AD Mathews,AD Mathews,599,41,724,44,29,17.7,120.9,807,27,120,1079,9,46,19
AD Russell,AD Russell,882,61,1517,105,129,24.9,172,1186,61,164,1713,10.4,73,23
AJ Finch,AJ Finch,1622,85,2005,204,75,23.6,123.6,44,1,8,67,8.4,85,27
AM Nayar,AM Nayar,588,50,672,55,20,13.4,114.3,239,9,38,322,8.5,51,13
AM Rahane,AM Rahane,3325,140,3933,416,76,28.1,118.3,6,1,1,5,5,141,58
AR Patel,AR Patel,745,71,913,53,43,12.9,122.6,2053,80,286,2456,8.6,97,40
AT Rayudu,AT Rayudu,2970,149,3659,308,132,24.6,123.2,0,0,0,0,0,155,56
B Kumar,B Kumar,199,42,183,17,3,4.4,92,2795,136,373,3253,8.7,121,27
B Lee,B Lee,102,19,124,8,8,6.5,121.6,916,25,129,1095,8.5,38,10
BA Stokes,BA Stokes,700,40,920,79,32,23,131.4,711,28,92,962,10.5,42,20
BB McCullum,BB McCullum,2267,109,2880,293,130,26.4,127,0,0,0,0,0,109,37
BJ Hodge,BJ Hodge,1153,63,1400,122,43,22.2,121.4,238,17,29,303,10.4,64,22
CA Lynn,CA Lynn,938,41,1280,128,63,31.2,136.5,0,0,0,0,0,41,10
CH Gayle,CH Gayle,3342,131,4772,384,349,36.4,142.8,584,18,84,729,8.7,131,26
CH Morris,CH Morris,360,42,551,39,30,13.1,153.1,1532,80,210,1919,9.1,70,34
CL White,CL White,769,45,954,76,36,21.2,124.1,46,1,7,86,12.3,47,22
DA Miller,DA Miller,1374,77,1850,126,87,24,134.6,0,0,0,0,0,79,49
DA Warner,DA Warner,3819,142,5254,510,195,37,137.6,2,0,1,2,2,142,66
DJ Bravo,DJ Bravo,1199,101,1490,116,61,14.8,124.3,2846,153,379,3798,10,139,75
DJ Hooda,DJ Hooda,504,50,625,32,29,12.5,124,239,7,37,322,8.7,58,25
DJ Hussey,DJ Hussey,1101,61,1322,90,60,21.7,120.1,323,8,51,474,9.3,63,25
DL Chahar,DL Chahar,58,10,78,2,6,7.8,134.5,1046,45,137,1271,9.3,48,7
DL Vettori,DL Vettori,118,16,121,11,2,7.6,102.5,785,28,110,879,8,34,11
DPMD Jayawardene,DPMD Jayawardene,1520,78,1802,200,39,23.1,118.6,0,0,0,0,0,80,32
DR Smith,DR Smith,1803,88,2385,245,117,27.1,132.3,557,26,81,810,10,91,41
DS Kulkarni,DS Kulkarni,113,20,104,7,2,5.2,92,1850,86,267,2426,9.1,91,22
DT Christian,DT Christian,384,34,446,22,19,13.1,116.1,818,34,108,1037,9.6,40,19
DW Steyn,DW Steyn,163,33,167,14,3,5.1,102.5,2276,97,301,2508,8.3,95,24
EJG Morgan,EJG Morgan,1037,59,1272,104,58,21.6,122.7,0,0,0,0,0,62,27
F du Plessis,F du Plessis,1828,77,2302,205,73,29.9,125.9,6,0,1,16,16,80,54
G Gambhir,G Gambhir,3524,151,4217,492,59,27.9,119.7,0,0,0,0,0,152,28
GJ Bailey,GJ Bailey,552,36,663,59,19,18.4,120.1,0,0,0,0,0,38,11
GJ Maxwell,GJ Maxwell,1013,78,1505,119,91,19.3,148.6,558,19,83,780,9.4,82,30
Gurkeerat Singh,Gurkeerat Singh,436,32,511,55,11,16,117.2,82,5,13,97,7.5,37,19
Harbhajan Singh,Harbhajan Singh,632,86,829,79,42,9.6,131.2,3451,150,461,3967,8.6,160,48
HH Gibbs,HH Gibbs,837,36,886,83,31,24.6,105.9,0,0,0,0,0,36,22
HH Pandya,HH Pandya,897,74,1349,86,93,18.2,150.4,914,42,123,1313,10.7,79,49
HV Patel,HV Patel,99,17,128,5,9,7.5,129.3,966,46,142,1349,9.5,47,12
I Sharma,I Sharma,62,18,55,4,2,3.1,88.7,2018,71,274,2604,9.5,90,16
IK Pathan,IK Pathan,981,82,1139,87,37,13.9,116.1,2113,80,270,2649,9.8,102,31
Imran Tahir,Imran Tahir,37,8,33,5,0,4.1,89.2,1314,80,182,1687,9.3,58,13
Iqbal Abdulla,Iqbal Abdulla,86,13,88,9,1,6.8,102.3,943,40,134,1109,8.3,48,14
Ishan Kishan,Ishan Kishan,907,46,1211,100,64,26.3,133.5,0,0,0,0,0,47,16
J Botha,J Botha,364,28,409,39,5,14.6,112.4,709,25,103,800,7.8,34,18
JA Morkel,JA Morkel,711,67,974,61,55,14.5,137,1807,85,232,2359,10.2,90,19
JC Archer,JC Archer,128,21,195,11,14,9.3,152.3,858,46,102,979,9.6,35,9
JC Buttler,JC Buttler,1184,57,1714,167,77,30.1,144.8,0,0,0,0,0,57,31
JD Unadkat,JD Unadkat,67,13,64,6,1,4.9,95.5,1685,81,228,2420,10.6,79,23
JH Kallis,JH Kallis,2291,95,2427,255,44,25.5,105.9,1799,65,229,2293,10,98,31
JJ Bumrah,JJ Bumrah,42,11,40,2,1,3.6,95.2,2159,109,280,2587,9.2,92,9
JP Duminy,JP Duminy,1680,75,2029,126,79,27.1,120.8,701,23,108,834,7.7,82,30
JP Faulkner,JP Faulkner,405,45,527,36,23,11.7,130.1,1276,59,175,1778,10.2,60,16
K Rabada,K Rabada,135,13,125,9,4,9.6,92.6,840,61,105,1103,10.5,35,14
KA Pollard,KA Pollard,2107,144,3023,196,198,21,143.5,1414,60,185,1960,10.6,160,90
KC Sangakkara,KC Sangakkara,1424,68,1687,195,27,24.8,118.5,0,0,0,0,0,68,45
KD Karthik,KD Karthik,3023,176,3823,377,105,21.7,126.5,0,0,0,0,0,190,118
KH Pandya,KH Pandya,727,57,1000,95,40,17.5,137.6,1283,46,178,1508,8.5,71,22
KK Nair,KK Nair,1174,66,1480,160,39,22.4,126.1,0,0,0,0,0,70,22
KL Rahul,KL Rahul,1990,72,2647,234,104,36.8,133,0,0,0,0,0,77,39
KM Jadhav,KM Jadhav,947,75,1141,99,38,15.2,120.5,0,0,0,0,0,78,28
KP Pietersen,KP Pietersen,758,36,1001,91,40,27.8,132.1,180,7,24,215,9,36,12
KS Williamson,KS Williamson,1222,52,1619,137,54,31.1,132.5,18,0,3,31,10.3,53,22
Kuldeep Yadav,Kuldeep Yadav,76,10,57,5,0,5.7,75,913,40,125,1236,9.9,45,13
KV Sharma,KV Sharma,285,34,317,18,14,9.3,111.2,1239,59,184,1610,8.8,68,14
L Balaji,L Balaji,50,13,36,2,1,2.8,72,1574,76,213,2028,9.5,73,11
LR Shukla,LR Shukla,358,33,405,33,16,12.3,113.1,326,15,48,447,9.3,44,14
LRPL Taylor,LRPL Taylor,847,54,1017,66,46,18.8,120.1,13,0,2,24,12,55,18
M Ashwin,M Ashwin,12,6,8,0,0,1.3,66.7,623,25,91,784,8.6,31,7
M Kartik,M Kartik,109,14,113,7,1,8.1,103.7,1182,31,165,1388,8.4,56,20
M Manhas,M Manhas,486,38,514,43,10,13.5,105.8,42,0,7,42,6,41,20
M Morkel,M Morkel,93,20,126,11,5,6.3,135.5,1699,77,231,2089,9,70,11
M Muralitharan,M Muralitharan,30,9,20,1,0,2.2,66.7,1577,63,204,1696,8.3,66,15
M Vijay,M Vijay,2208,105,2619,247,91,24.9,118.6,37,0,6,49,8.2,106,47
M Vohra,M Vohra,800,45,1012,97,39,22.5,126.5,0,0,0,0,0,47,13
MA Agarwal,MA Agarwal,1310,83,1690,161,67,20.4,129,0,0,0,0,0,84,35
Mandeep Singh,Mandeep Singh,1364,90,1659,170,37,18.4,121.6,12,0,2,26,13,96,36
MC Henriques,MC Henriques,769,50,969,87,27,19.4,126,918,38,136,1244,9.1,57,27
MEK Hussey,MEK Hussey,1648,58,1977,198,52,34.1,120,0,0,0,0,0,58,26
